vintage_date,period,category,value
2026-09-01,1990-07-01,total,24900
2026-09-01,1990-10-01,total,15000
2026-09-01,1991-01-01,total,33100
2026-09-01,1991-04-01,total,13500
2026-09-01,1991-07-01,total,25800
2026-09-01,1991-10-01,total,9300
2026-09-01,1992-01-01,total,27100
2026-09-01,1992-04-01,total,6400
2026-09-01,1992-07-01,total,15100
2026-09-01,1992-10-01,total,2800
2026-09-01,1993-01-01,total,18500
2026-09-01,1993-04-01,total,-6300
2026-09-01,1993-07-01,total,17800
2026-09-01,1993-10-01,total,4900
2026-09-01,1994-01-01,total,19500
2026-09-01,1994-04-01,total,4400
2026-09-01,1994-07-01,total,27800
2026-09-01,1994-10-01,total,3900
2026-09-01,1995-01-01,total,24700
2026-09-01,1995-04-01,total,23800
2026-09-01,1995-07-01,total,29100
2026-09-01,1995-10-01,total,29200
2026-09-01,1996-01-01,total,25100
2026-09-01,1996-04-01,total,20600
2026-09-01,1996-07-01,total,32299.999999999996
2026-09-01,1996-10-01,total,19400
2026-09-01,1997-01-01,total,29400
2026-09-01,1997-04-01,total,6100
2026-09-01,1997-07-01,total,22900
2026-09-01,1997-10-01,total,14000
2026-09-01,1998-01-01,total,33700
2026-09-01,1998-04-01,total,8500
2026-09-01,1998-07-01,total,26500
2026-09-01,1998-10-01,total,20100
2026-09-01,1999-01-01,total,35100
2026-09-01,1999-04-01,total,14800
2026-09-01,1999-07-01,total,29700
2026-09-01,1999-10-01,total,24600
2026-09-01,2000-01-01,total,37400
2026-09-01,2000-04-01,total,15500
2026-09-01,2000-07-01,total,31900
2026-09-01,2000-10-01,total,26600
2026-09-01,2001-01-01,total,54800
2026-09-01,2001-04-01,total,22400
2026-09-01,2001-07-01,total,27700
2026-09-01,2001-10-01,total,31200
2026-09-01,2002-01-01,total,36400
2026-09-01,2002-04-01,total,15300
2026-09-01,2002-07-01,total,29900
2026-09-01,2002-10-01,total,28900
2026-09-01,2003-01-01,total,41600
2026-09-01,2003-04-01,total,16100.000000000002
2026-09-01,2003-07-01,total,27200
2026-09-01,2003-10-01,total,25200
2026-09-01,2004-01-01,total,35500
2026-09-01,2004-04-01,total,12100
2026-09-01,2004-07-01,total,30400
2026-09-01,2004-10-01,total,28500
2026-09-01,2005-01-01,total,47100
2026-09-01,2005-04-01,total,17800
2026-09-01,2005-07-01,total,37400
2026-09-01,2005-10-01,total,34700
2026-09-01,2006-01-01,total,53200
2026-09-01,2006-04-01,total,21400
2026-09-01,2006-07-01,total,56900
2026-09-01,2006-10-01,total,50600
2026-09-01,2007-01-01,total,76000
2026-09-01,2007-04-01,total,49200
2026-09-01,2007-07-01,total,62800
2026-09-01,2007-10-01,total,56000
2026-09-01,2008-01-01,total,93500
2026-09-01,2008-04-01,total,65099.99999999999
2026-09-01,2008-07-01,total,84100
2026-09-01,2008-10-01,total,73000
2026-09-01,2009-01-01,total,88700
2026-09-01,2009-04-01,total,54000
2026-09-01,2009-07-01,total,62500
2026-09-01,2009-10-01,total,41700
2026-09-01,2010-01-01,total,59900
2026-09-01,2010-04-01,total,32000
2026-09-01,2010-07-01,total,41800
2026-09-01,2010-10-01,total,38400
2026-09-01,2011-01-01,total,61000
2026-09-01,2011-04-01,total,39200
2026-09-01,2011-07-01,total,55400
2026-09-01,2011-10-01,total,50600
2026-09-01,2012-01-01,total,74000
2026-09-01,2012-04-01,total,51900
2026-09-01,2012-07-01,total,63300
2026-09-01,2012-10-01,total,51000
2026-09-01,2013-01-01,total,71200
2026-09-01,2013-04-01,total,44800
2026-09-01,2013-07-01,total,54200
2026-09-01,2013-10-01,total,38200
2026-09-01,2014-01-01,total,65000
2026-09-01,2014-04-01,total,30400
2026-09-01,2014-07-01,total,50200
2026-09-01,2014-10-01,total,36800
2026-09-01,2015-01-01,total,63800
2026-09-01,2015-04-01,total,33300
2026-09-01,2015-07-01,total,50400
2026-09-01,2015-10-01,total,39300
2026-09-01,2016-01-01,total,73000
2026-09-01,2016-04-01,total,43600
2026-09-01,2016-07-01,total,73700
2026-09-01,2016-10-01,total,53600
2026-09-01,2017-01-01,total,88800
2026-09-01,2017-04-01,total,47300
2026-09-01,2017-07-01,total,69700
2026-09-01,2017-10-01,total,35800
2026-09-01,2018-01-01,total,85100
2026-09-01,2018-04-01,total,47600
2026-09-01,2018-07-01,total,73800
2026-09-01,2018-10-01,total,45700
2026-09-01,2019-01-01,total,83600
2026-09-01,2019-04-01,total,38200
2026-09-01,2019-07-01,total,74500
2026-09-01,2019-10-01,total,51300
2026-09-01,2020-01-01,total,75200
2026-09-01,2020-04-01,total,-8300
2026-09-01,2020-07-01,total,-42600
2026-09-01,2020-10-01,total,-29300
2026-09-01,2021-01-01,total,-14200
2026-09-01,2021-04-01,total,1100
2026-09-01,2021-07-01,total,-13000
2026-09-01,2021-10-01,total,35400
2026-09-01,2022-01-01,total,107500
2026-09-01,2022-04-01,total,78000
2026-09-01,2022-07-01,total,127700
2026-09-01,2022-10-01,total,124600
2026-09-01,2023-01-01,total,165500
2026-09-01,2023-04-01,total,120500
2026-09-01,2023-07-01,total,145200
2026-09-01,2023-10-01,total,99500
2026-09-01,2024-01-01,total,128699.99999999999
2026-09-01,2024-04-01,total,55800
2026-09-01,2024-07-01,total,81600
2026-09-01,2024-10-01,total,64300
2026-09-01,2025-01-01,total,107100
2026-09-01,2025-04-01,total,49200
2026-09-01,2025-07-01,total,88100
2026-09-01,2025-10-01,total,56600
